Week,Airports,Class,Passengers
1989-07-10,ADL-PER,Business,193.0
1989-07-17,ADL-PER,Business,254.0
1989-07-24,ADL-PER,Business,185.0
1989-07-31,ADL-PER,Business,254.0
1989-08-07,ADL-PER,Business,191.0
1989-08-14,ADL-PER,Business,136.0
1989-08-21,ADL-PER,Business,0.0
1989-08-28,ADL-PER,Business,0.0
1989-09-04,ADL-PER,Business,0.0
1989-09-11,ADL-PER,Business,0.0
1989-09-18,ADL-PER,Business,0.0
1989-09-25,ADL-PER,Business,0.0
1989-10-02,ADL-PER,Business,0.0
1989-10-09,ADL-PER,Business,0.0
1989-10-16,ADL-PER,Business,0.0
1989-10-23,ADL-PER,Business,23.0
1989-10-30,ADL-PER,Business,9.0
1989-11-06,ADL-PER,Business,0.0
1989-11-13,ADL-PER,Business,0.0
1989-11-20,ADL-PER,Business,0.0
1989-11-27,ADL-PER,Business,0.0
1989-12-04,ADL-PER,Business,28.0
1989-12-11,ADL-PER,Business,163.0
1989-12-18,ADL-PER,Business,68.0
1989-12-25,ADL-PER,Business,73.0
1990-01-01,ADL-PER,Business,120.0
1990-01-08,ADL-PER,Business,105.0
1990-01-15,ADL-PER,Business,119.0
1990-01-22,ADL-PER,Business,141.0
1990-01-29,ADL-PER,Business,176.0
1990-02-05,ADL-PER,Business,192.0
1990-02-12,ADL-PER,Business,192.0
1990-02-19,ADL-PER,Business,167.0
1990-02-26,ADL-PER,Business,191.0
1990-03-05,ADL-PER,Business,172.0
1990-03-12,ADL-PER,Business,268.0
1990-03-19,ADL-PER,Business,303.0
1990-03-26,ADL-PER,Business,279.0
1990-04-02,ADL-PER,Business,162.0
1990-04-09,ADL-PER,Business,166.0
1990-04-16,ADL-PER,Business,198.0
1990-04-23,ADL-PER,Business,249.0
1990-04-30,ADL-PER,Business,219.0
1990-05-07,ADL-PER,Business,195.0
1990-05-14,ADL-PER,Business,210.0
1990-05-21,ADL-PER,Business,202.0
1990-05-28,ADL-PER,Business,205.0
1990-06-04,ADL-PER,Business,182.0
1990-06-11,ADL-PER,Business,238.0
1990-06-18,ADL-PER,Business,172.0
1990-06-25,ADL-PER,Business,174.0
1990-07-02,ADL-PER,Business,208.0
1990-07-09,ADL-PER,Business,201.0
1990-07-16,ADL-PER,Business,218.0
1990-07-23,ADL-PER,Business,244.0
1990-07-30,ADL-PER,Business,231.0
1990-08-06,ADL-PER,Business,209.0
1990-08-13,ADL-PER,Business,228.0
1990-08-20,ADL-PER,Business,214.0
1990-08-27,ADL-PER,Business,228.0
1990-09-03,ADL-PER,Business,255.0
1990-09-10,ADL-PER,Business,247.0
1990-09-17,ADL-PER,Business,127.0
1990-09-24,ADL-PER,Business,222.0
1990-10-01,ADL-PER,Business,239.0
1990-10-08,ADL-PER,Business,270.0
1990-10-15,ADL-PER,Business,261.0
1990-10-22,ADL-PER,Business,238.0
1990-10-29,ADL-PER,Business,284.0
1990-11-05,ADL-PER,Business,267.0
1990-11-12,ADL-PER,Business,317.0
1990-11-19,ADL-PER,Business,275.0
1990-11-26,ADL-PER,Business,259.0
1990-12-03,ADL-PER,Business,203.0
1990-12-10,ADL-PER,Business,138.0
1990-12-17,ADL-PER,Business,52.0
1990-12-24,ADL-PER,Business,69.0
1990-12-31,ADL-PER,Business,108.0
1991-01-07,ADL-PER,Business,168.0
1991-01-14,ADL-PER,Business,138.0
1991-01-21,ADL-PER,Business,152.0
1991-01-28,ADL-PER,Business,217.0
1991-02-04,ADL-PER,Business,225.0
1991-02-11,ADL-PER,Business,264.0
1991-02-18,ADL-PER,Business,234.0
1991-02-25,ADL-PER,Business,222.0
1991-03-04,ADL-PER,Business,237.0
1991-03-11,ADL-PER,Business,280.0
1991-03-18,ADL-PER,Business,191.0
1991-03-25,ADL-PER,Business,169.0
1991-04-01,ADL-PER,Business,261.0
1991-04-08,ADL-PER,Business,268.0
1991-04-15,ADL-PER,Business,171.0
1991-04-22,ADL-PER,Business,273.0
1991-04-29,ADL-PER,Business,314.0
1991-05-06,ADL-PER,Business,234.0
1991-05-13,ADL-PER,Business,314.0
1991-05-20,ADL-PER,Business,235.0
1991-05-27,ADL-PER,Business,251.0
1991-06-03,ADL-PER,Business,232.0
1991-06-10,ADL-PER,Business,303.0
1991-06-17,ADL-PER,Business,246.0
1991-06-24,ADL-PER,Business,234.0
1991-07-01,ADL-PER,Business,215.0
1991-07-08,ADL-PER,Business,212.0
1991-07-15,ADL-PER,Business,243.0
1991-07-22,ADL-PER,Business,224.0
1991-07-29,ADL-PER,Business,258.0
1991-08-05,ADL-PER,Business,220.0
1991-08-12,ADL-PER,Business,222.0
1991-08-19,ADL-PER,Business,211.0
1991-08-26,ADL-PER,Business,241.0
1991-09-02,ADL-PER,Business,261.0
1991-09-09,ADL-PER,Business,249.0
1991-09-16,ADL-PER,Business,257.0
1991-09-23,ADL-PER,Business,220.0
1991-09-30,ADL-PER,Business,184.0
1991-10-07,ADL-PER,Business,221.0
1991-10-14,ADL-PER,Business,223.0
1991-10-21,ADL-PER,Business,206.0
1991-10-28,ADL-PER,Business,260.0
1991-11-04,ADL-PER,Business,270.0
1991-11-11,ADL-PER,Business,250.0
1991-11-18,ADL-PER,Business,260.0
1991-11-25,ADL-PER,Business,199.0
1991-12-02,ADL-PER,Business,177.0
1991-12-09,ADL-PER,Business,195.0
1991-12-16,ADL-PER,Business,60.0
1991-12-23,ADL-PER,Business,66.0
1991-12-30,ADL-PER,Business,138.0
1992-01-06,ADL-PER,Business,173.0
1992-01-13,ADL-PER,Business,142.0
1992-01-20,ADL-PER,Business,118.0
1992-01-27,ADL-PER,Business,269.0
1992-02-03,ADL-PER,Business,296.0
1992-02-10,ADL-PER,Business,259.0
1992-02-17,ADL-PER,Business,314.0
1992-02-24,ADL-PER,Business,255.0
1992-03-02,ADL-PER,Business,282.0
1992-03-09,ADL-PER,Business,290.0
1992-03-16,ADL-PER,Business,713.0
1992-03-23,ADL-PER,Business,910.0
1992-03-30,ADL-PER,Business,1015.0
1992-04-06,ADL-PER,Business,844.0
1992-04-13,ADL-PER,Business,718.0
1992-04-20,ADL-PER,Business,911.0
1992-04-27,ADL-PER,Business,890.0
1992-05-04,ADL-PER,Business,933.0
1992-05-11,ADL-PER,Business,901.0
1992-05-18,ADL-PER,Business,875.0
1992-05-25,ADL-PER,Business,666.0
1992-06-01,ADL-PER,Business,624.0
1992-06-08,ADL-PER,Business,619.0
1992-06-15,ADL-PER,Business,517.0
1992-06-22,ADL-PER,Business,436.0
1992-06-29,ADL-PER,Business,424.0
1992-07-06,ADL-PER,Business,363.0
1992-07-13,ADL-PER,Business,386.0
1992-07-20,ADL-PER,Business,398.0
1992-07-27,ADL-PER,Business,394.0
1992-08-03,ADL-PER,Business,397.0
1992-08-10,ADL-PER,Business,342.0
1992-08-17,ADL-PER,Business,414.0
1992-08-24,ADL-PER,Business,406.0
1992-08-31,ADL-PER,Business,394.0
1992-09-07,ADL-PER,Business,420.0
1992-09-14,ADL-PER,Business,331.0
1992-09-21,ADL-PER,Business,338.0
1992-09-28,ADL-PER,Business,325.0
1992-10-05,ADL-PER,Business,459.0
1992-10-12,ADL-PER,Business,464.0
1992-10-19,ADL-PER,Business,388.0
1992-10-26,ADL-PER,Business,342.0
1992-11-02,ADL-PER,Business,484.0
1992-11-09,ADL-PER,Business,428.0
1992-11-16,ADL-PER,Business,404.0
1987-06-22,ADL-PER,Economy,2084.0
1987-06-29,ADL-PER,Economy,2186.0
1987-07-06,ADL-PER,Economy,2137.0
1987-07-13,ADL-PER,Economy,2090.0
1987-07-20,ADL-PER,Economy,1595.0
1987-07-27,ADL-PER,Economy,1908.0
1987-08-03,ADL-PER,Economy,1778.0
1987-08-10,ADL-PER,Economy,1931.0
1987-08-17,ADL-PER,Economy,2062.0
1987-08-24,ADL-PER,Economy,2062.0
1987-08-31,ADL-PER,Economy,1976.0
1987-09-07,ADL-PER,Economy,1743.0
1987-09-14,ADL-PER,Economy,2635.0
1987-09-21,ADL-PER,Economy,2532.0
1987-09-28,ADL-PER,Economy,2390.0
1987-10-05,ADL-PER,Economy,2620.0
1987-10-12,ADL-PER,Economy,2314.0
1987-10-19,ADL-PER,Economy,2208.0
1987-10-26,ADL-PER,Economy,2039.0
1987-11-02,ADL-PER,Economy,2392.0
1987-11-09,ADL-PER,Economy,2838.0
1987-11-16,ADL-PER,Economy,2134.0
1987-11-23,ADL-PER,Economy,1957.0
1987-11-30,ADL-PER,Economy,2152.0
1987-12-07,ADL-PER,Economy,2584.0
1987-12-14,ADL-PER,Economy,2611.0
1987-12-21,ADL-PER,Economy,2245.0
1987-12-28,ADL-PER,Economy,2753.0
1988-01-04,ADL-PER,Economy,2666.0
1988-01-11,ADL-PER,Economy,2204.0
1988-01-18,ADL-PER,Economy,2395.0
1988-01-25,ADL-PER,Economy,2241.0
1988-02-01,ADL-PER,Economy,1929.0
1988-02-08,ADL-PER,Economy,2247.0
1988-02-15,ADL-PER,Economy,2764.0
1988-02-22,ADL-PER,Economy,2001.0
1988-02-29,ADL-PER,Economy,2169.0
1988-03-07,ADL-PER,Economy,1955.0
1988-03-14,ADL-PER,Economy,2516.0
1988-03-21,ADL-PER,Economy,2353.0
1988-03-28,ADL-PER,Economy,2299.0
1988-04-04,ADL-PER,Economy,2473.0
1988-04-11,ADL-PER,Economy,2412.0
1988-04-18,ADL-PER,Economy,2231.0
1988-04-25,ADL-PER,Economy,2224.0
1988-05-02,ADL-PER,Economy,2150.0
1988-05-09,ADL-PER,Economy,2063.0
1988-05-16,ADL-PER,Economy,2014.0
1988-05-23,ADL-PER,Economy,1717.0
1988-05-30,ADL-PER,Economy,1627.0
1988-06-06,ADL-PER,Economy,1969.0
1988-06-13,ADL-PER,Economy,1958.0
1988-06-20,ADL-PER,Economy,2014.0
1988-06-27,ADL-PER,Economy,2320.0
1988-07-04,ADL-PER,Economy,2173.0
1988-07-11,ADL-PER,Economy,2152.0
1988-07-18,ADL-PER,Economy,1887.0
1988-07-25,ADL-PER,Economy,1939.0
1988-08-01,ADL-PER,Economy,2565.0
1988-08-08,ADL-PER,Economy,2247.0
1988-08-15,ADL-PER,Economy,2291.0
1988-08-22,ADL-PER,Economy,1978.0
1988-08-29,ADL-PER,Economy,2243.0
1988-09-05,ADL-PER,Economy,2299.0
1988-09-12,ADL-PER,Economy,2790.0
1988-09-19,ADL-PER,Economy,2615.0
1988-09-26,ADL-PER,Economy,2058.0
1988-10-03,ADL-PER,Economy,2631.0
1988-10-10,ADL-PER,Economy,2240.0
1988-10-17,ADL-PER,Economy,2436.0
1988-10-24,ADL-PER,Economy,1957.0
1988-10-31,ADL-PER,Economy,2244.0
1988-11-07,ADL-PER,Economy,2308.0
1988-11-14,ADL-PER,Economy,1946.0
1988-11-21,ADL-PER,Economy,2190.0
1988-11-28,ADL-PER,Economy,2220.0
1988-12-05,ADL-PER,Economy,2723.0
1988-12-12,ADL-PER,Economy,2951.0
1988-12-19,ADL-PER,Economy,1742.0
1988-12-26,ADL-PER,Economy,2453.0
1989-01-02,ADL-PER,Economy,2469.0
1989-01-09,ADL-PER,Economy,2429.0
1989-01-16,ADL-PER,Economy,2391.0
1989-01-23,ADL-PER,Economy,2054.0
1989-01-30,ADL-PER,Economy,2127.0
1989-02-06,ADL-PER,Economy,2103.0
1989-02-13,ADL-PER,Economy,1958.0
1989-02-20,ADL-PER,Economy,2234.0
1989-02-27,ADL-PER,Economy,2030.0
1989-03-06,ADL-PER,Economy,2427.0
1989-03-13,ADL-PER,Economy,2733.0
1989-03-20,ADL-PER,Economy,2599.0
1989-03-27,ADL-PER,Economy,2639.0
1989-04-03,ADL-PER,Economy,2508.0
1989-04-10,ADL-PER,Economy,2379.0
1989-04-17,ADL-PER,Economy,2262.0
