Date,State,Gender,Legal,Indigenous,Count
2005-03-01,ACT,Female,Remanded,ATSI,0
2005-03-01,ACT,Female,Remanded,Non-ATSI,2
2005-03-01,ACT,Female,Sentenced,ATSI,0
2005-03-01,ACT,Female,Sentenced,Non-ATSI,5
2005-03-01,ACT,Male,Remanded,ATSI,7
2005-03-01,ACT,Male,Remanded,Non-ATSI,58
2005-03-01,ACT,Male,Sentenced,ATSI,5
2005-03-01,ACT,Male,Sentenced,Non-ATSI,101
2005-03-01,NSW,Female,Remanded,ATSI,51
2005-03-01,NSW,Female,Remanded,Non-ATSI,131
2005-03-01,NSW,Female,Sentenced,ATSI,145
2005-03-01,NSW,Female,Sentenced,Non-ATSI,323
2005-03-01,NSW,Male,Remanded,ATSI,355
2005-03-01,NSW,Male,Remanded,Non-ATSI,1617
2005-03-01,NSW,Male,Sentenced,ATSI,1240
2005-03-01,NSW,Male,Sentenced,Non-ATSI,5156
2005-03-01,NT,Female,Remanded,ATSI,10
2005-03-01,NT,Female,Remanded,Non-ATSI,3
2005-03-01,NT,Female,Sentenced,ATSI,8
2005-03-01,NT,Female,Sentenced,Non-ATSI,4
2005-03-01,NT,Male,Remanded,ATSI,102
2005-03-01,NT,Male,Remanded,Non-ATSI,45
2005-03-01,NT,Male,Sentenced,ATSI,496
2005-03-01,NT,Male,Sentenced,Non-ATSI,117
2005-03-01,QLD,Female,Remanded,ATSI,23
2005-03-01,QLD,Female,Remanded,Non-ATSI,58
2005-03-01,QLD,Female,Sentenced,ATSI,71
2005-03-01,QLD,Female,Sentenced,Non-ATSI,202
2005-03-01,QLD,Male,Remanded,ATSI,216
2005-03-01,QLD,Male,Remanded,Non-ATSI,784
2005-03-01,QLD,Male,Sentenced,ATSI,974
2005-03-01,QLD,Male,Sentenced,Non-ATSI,2966
2005-03-01,SA,Female,Remanded,ATSI,13
2005-03-01,SA,Female,Remanded,Non-ATSI,25
2005-03-01,SA,Female,Sentenced,ATSI,10
2005-03-01,SA,Female,Sentenced,Non-ATSI,44
2005-03-01,SA,Male,Remanded,ATSI,113
2005-03-01,SA,Male,Remanded,Non-ATSI,373
2005-03-01,SA,Male,Sentenced,ATSI,167
2005-03-01,SA,Male,Sentenced,Non-ATSI,807
2005-03-01,TAS,Female,Remanded,ATSI,2
2005-03-01,TAS,Female,Remanded,Non-ATSI,8
2005-03-01,TAS,Female,Sentenced,ATSI,3
